1, none, tectonic:alpine_meadow, MONSTER, minecraft:spider, 80, 4, 4
2, none, tectonic:alpine_meadow, MONSTER, minecraft:zombie, 80, 4, 4
3, none, tectonic:alpine_meadow, MONSTER, minecraft:zombie_villager, 10, 1, 1
4, none, tectonic:alpine_meadow, MONSTER, minecraft:skeleton, 80, 4, 4
5, none, tectonic:alpine_meadow, MONSTER, minecraft:creeper, 80, 4, 4
6, none, tectonic:alpine_meadow, MONSTER, minecraft:slime, 80, 4, 4
7, none, tectonic:alpine_meadow, MONSTER, minecraft:enderman, 5, 1, 4
8, none, tectonic:alpine_meadow, MONSTER, minecraft:witch, 5, 1, 1
9, none, tectonic:alpine_meadow, CREATURE, minecraft:rabbit, 10, 2, 6
10, none, tectonic:alpine_meadow, CREATURE, minecraft:sheep, 10, 2, 4
11, none, tectonic:alpine_meadow, AMBIENT, minecraft:bat, 10, 8, 8
12, none, tectonic:alpine_meadow, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
13, none, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:spider, 80, 4, 4
14, none, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:zombie, 80, 4, 4
15, none, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:zombie_villager, 10, 1, 1
16, none, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:skeleton, 80, 4, 4
17, none, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:creeper, 80, 4, 4
18, none, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:slime, 80, 4, 4
19, none, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:enderman, 5, 1, 4
20, none, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:witch, 5, 1, 1
21, none, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:drowned, 10, 1, 1
22, none, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:spider, 80, 4, 4
23, none, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:zombie, 80, 4, 4
24, none, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:zombie_villager, 10, 1, 1
25, none, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:skeleton, 80, 4, 4
26, none, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:creeper, 80, 4, 4
27, none, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:slime, 80, 4, 4
28, none, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:enderman, 5, 1, 4
29, none, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:witch, 5, 1, 1
30, none, nyctophobia:ancient_dead_coral_reef, AMBIENT, minecraft:bat, 10, 8, 8
31, none, nyctophobia:ancient_dead_coral_reef, AMBIENT, minecraft:bat, 10, 8, 8
32, none, nyctophobia:ancient_dead_coral_reef, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
33, none, nyctophobia:ancient_dead_coral_reef, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
34, none, nyctophobia:ancient_dead_coral_reef, WATER_CREATURE, minecraft:squid, 10, 1, 4
35, none, nyctophobia:ancient_dead_coral_reef, WATER_AMBIENT, minecraft:cod, 15, 3, 6
36, none, nyctophobia:ancient_dead_coral_reef, WATER_AMBIENT, minecraft:salmon, 15, 1, 5
37, none, nyctophobia:ancient_dead_coral_reef, WATER_AMBIENT, minecraft:pufferfish, 15, 1, 3
38, none, tectonic:ancient_river, MONSTER, minecraft:spider, 80, 4, 4
39, none, tectonic:ancient_river, MONSTER, minecraft:zombie, 80, 4, 4
40, none, tectonic:ancient_river, MONSTER, minecraft:zombie_villager, 10, 1, 1
41, none, tectonic:ancient_river, MONSTER, minecraft:skeleton, 80, 4, 4
42, none, tectonic:ancient_river, MONSTER, minecraft:creeper, 80, 4, 4
43, none, tectonic:ancient_river, MONSTER, minecraft:slime, 80, 4, 4
44, none, tectonic:ancient_river, MONSTER, minecraft:enderman, 5, 1, 4
45, none, tectonic:ancient_river, MONSTER, minecraft:witch, 5, 1, 1
46, none, tectonic:ancient_river, MONSTER, minecraft:drowned, 80, 1, 1
47, none, tectonic:ancient_river, AMBIENT, minecraft:bat, 10, 8, 8
48, none, tectonic:ancient_river, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
49, none, tectonic:ancient_river, WATER_CREATURE, minecraft:squid, 10, 1, 4
50, none, tectonic:ancient_river, WATER_AMBIENT, minecraft:salmon, 10, 1, 5
51, none, biomesoplenty:auroral_garden, CREATURE, minecraft:sheep, 12, 4, 4
