1, structory:abandoned_camp, HEADING, header:ignore, 0, 0, 0
2, structory:abandoned_chapel, HEADING, header:ignore, 0, 0, 0
3, awesomedungeon:abandoned_oak_palace, HEADING, header:ignore, 0, 0, 0
4, dungeons_arise:abandoned_temple, HEADING, header:ignore, 0, 0, 0
5, dungeons_arise:abandoned_temple, MONSTER, minecraft:stray, 10, 1, 1
6, incendium:abandoned_tower, HEADING, header:ignore, 0, 0, 0
7, imst:airship, HEADING, header:ignore, 0, 0, 0
8, imst:airship, MONSTER, minecraft:pillager, 10, 1, 1
9, imst:alpine_house, HEADING, header:ignore, 0, 0, 0
10, minecraft:ancient_city, HEADING, header:ignore, 0, 0, 0
11, repurposed_structures:ancient_city_end, HEADING, header:ignore, 0, 0, 0
12, repurposed_structures:ancient_city_end, MONSTER, minecraft:phantom, 10, 1, 1
13, repurposed_structures:ancient_city_end, MONSTER, minecraft:endermite, 10, 3, 7
14, repurposed_structures:ancient_city_nether, HEADING, header:ignore, 0, 0, 0
15, repurposed_structures:ancient_city_nether, MONSTER, minecraft:ghast, 10, 6, 10
16, repurposed_structures:ancient_city_nether, MONSTER, minecraft:wither_skeleton, 10, 1, 3
17, repurposed_structures:ancient_city_ocean, HEADING, header:ignore, 0, 0, 0
18, repurposed_structures:ancient_city_ocean, MONSTER, minecraft:drowned, 10, 2, 5
19, philipsruins:ancient_crypt, HEADING, header:ignore, 0, 0, 0
20, cataclysm:ancient_factory, HEADING, header:ignore, 0, 0, 0
21, structory_towers:ancient_temple, HEADING, header:ignore, 0, 0, 0
22, philipsruins:antiquus_crypta, HEADING, header:ignore, 0, 0, 0
23, philipsruins:antiquus_crypta, MONSTER, minecraft:skeleton, 15, 5, 15
24, philipsruins:antiquus_crypta, MONSTER, minecraft:zombie, 15, 7, 15
25, minecolonies:asian_colony, HEADING, header:ignore, 0, 0, 0
26, minecolonies:asian_colony, CREATURE, minecraft:cat, 80, 1, 2
27, dungeons_arise:aviary, HEADING, header:ignore, 0, 0, 0
28, dungeons_arise:aviary, MONSTER, minecraft:phantom, 60, 2, 3
29, totw_modded:badlands, HEADING, header:ignore, 0, 0, 0
30, nova_structures:badlands_miner_outpost, HEADING, header:ignore, 0, 0, 0
31, nova_structures:badlands_miner_outpost, MONSTER, minecraft:pillager, 10, 1, 16
32, explorify:badlands_pyramid, HEADING, header:ignore, 0, 0, 0
33, philipsruins:badlands_start_dungeon, HEADING, header:ignore, 0, 0, 0
34, philipsruins:badlands_structures, HEADING, header:ignore, 0, 0, 0
35, imst:balloon, HEADING, header:ignore, 0, 0, 0
36, imst:bandit_camp, HEADING, header:ignore, 0, 0, 0
37, imst:bandit_camp, MONSTER, minecraft:pillager, 10, 1, 1
38, dungeons_arise:bandit_towers, HEADING, header:ignore, 0, 0, 0
39, dungeons_arise:bandit_village, HEADING, header:ignore, 0, 0, 0
40, minecraft:bastion_remnant, HEADING, header:ignore, 0, 0, 0
41, repurposed_structures:bastion_underground, HEADING, header:ignore, 0, 0, 0
42, repurposed_structures:bastion_underground, MONSTER, minecraft:skeleton, 10, 1, 4
43, dungeons_arise:bathhouse, HEADING, header:ignore, 0, 0, 0
44, imst:beehouse, HEADING, header:ignore, 0, 0, 0
45, imst:beehouse, AMBIENT, minecraft:bee, 10, 1, 1
46, imst:berry_house, HEADING, header:ignore, 0, 0, 0
47, awesomedungeon:better_default_jungle_temple, HEADING, header:ignore, 0, 0, 0
48, explorify:black_spiral, HEADING, header:ignore, 0, 0, 0
49, 1_splatus:blaze_king_tower, HEADING, header:ignore, 0, 0, 0
50, structory:boat, HEADING, header:ignore, 0, 0, 0
51, philipsruins:bone_dungeon, HEADING, header:ignore, 0, 0, 0
52, philipsruins:bone_dungeon, MONSTER, minecraft:skeleton, 10, 2, 8
53, philipsruins:bone_dungeon, MONSTER, minecraft:husk, 10, 5, 10
54, awesomedungeonocean:brigantine, HEADING, header:ignore, 0, 0, 0
55, nova_structures:bunker, HEADING, header:ignore, 0, 0, 0
56, minecraft:buried_treasure, HEADING, header:ignore, 0, 0, 0
57, cataclysm:burning_arena, HEADING, header:ignore, 0, 0, 0
58, imst:cactus_farm, HEADING, header:ignore, 0, 0, 0
59, minecolonies:caledonia_colony, HEADING, header:ignore, 0, 0, 0
60, minecolonies:caledonia_colony, CREATURE, minecraft:cat, 80, 1, 2
61, stellarity:campsite, HEADING, header:ignore, 0, 0, 0
62, imst:caravan, HEADING, header:ignore, 0, 0, 0
63, undergarden:catacombs, HEADING, header:ignore, 0, 0, 0
64, dungeons_arise:ceryneian_hind, HEADING, header:ignore, 0, 0, 0
65, stellarity:chapel_of_light, HEADING, header:ignore, 0, 0, 0
66, repurposed_structures:city_nether, HEADING, header:ignore, 0, 0, 0
67, repurposed_structures:city_nether, MONSTER, minecraft:wither_skeleton, 10, 2, 3
68, repurposed_structures:city_nether, MONSTER, minecraft:blaze, 80, 1, 4
69, repurposed_structures:city_overworld, HEADING, header:ignore, 0, 0, 0
70, solarcraft:clearing_ritual_structure, HEADING, header:ignore, 0, 0, 0
71, imst:cocoa_farm, HEADING, header:ignore, 0, 0, 0
72, solarcraft:cold_star_charging_station, HEADING, header:ignore, 0, 0, 0
73, dungeons_arise:coliseum, HEADING, header:ignore, 0, 0, 0
74, nova_structures:conduit_ruin, HEADING, header:ignore, 0, 0, 0
75, solarcraft:crystal_boss_room, HEADING, header:ignore, 0, 0, 0
76, evilcraft:dark_temple, HEADING, header:ignore, 0, 0, 0
77, imst:dark_tower, HEADING, header:ignore, 0, 0, 0
78, structory:dense_forest_ruin, HEADING, header:ignore, 0, 0, 0
79, totw_modded:derelict, HEADING, header:ignore, 0, 0, 0
80, totw_modded:derelict_grass, HEADING, header:ignore, 0, 0, 0
81, totw_modded:desert, HEADING, header:ignore, 0, 0, 0
82, minecraft:desert_pyramid, HEADING, header:ignore, 0, 0, 0
83, explorify:desert_shrine, HEADING, header:ignore, 0, 0, 0
84, philipsruins:desert_structures, HEADING, header:ignore, 0, 0, 0
85, awesomedungeon:desert_temple_husk, HEADING, header:ignore, 0, 0, 0
86, imst:desert_well, HEADING, header:ignore, 0, 0, 0
87, minecolonies:desertoasis_colony, HEADING, header:ignore, 0, 0, 0
88, minecolonies:desertoasis_colony, CREATURE, minecraft:cat, 80, 1, 2
89, solarcraft:dimensional_shard_structure, HEADING, header:ignore, 0, 0, 0
90, nullscape:dragon_skeleton, HEADING, header:ignore, 0, 0, 0
91, solarcraft:dungeon_one, HEADING, header:ignore, 0, 0, 0
92, imst:el_dorado, HEADING, header:ignore, 0, 0, 0
93, imst:el_dorado, MONSTER, minecraft:pillager, 10, 1, 3
94, totw_modded:end, HEADING, header:ignore, 0, 0, 0
95, structory_towers:end/end_tower, HEADING, header:ignore, 0, 0, 0
96, awesomedungeonend:end_castle_evoker, HEADING, header:ignore, 0, 0, 0
97, minecraft:end_city, HEADING, header:ignore, 0, 0, 0
98, minecraft:end_city, MONSTER, alexsmobs:mimicube, 40, 1, 3
99, philipsruins:end_gate_fortress, HEADING, header:ignore, 0, 0, 0
100, philipsruins:end_gate_fortress, MONSTER, minecraft:enderman, 15, 5, 15
101, awesomedungeonend:end_hardcastle, HEADING, header:ignore, 0, 0, 0
102, awesomedungeonend:end_palace, HEADING, header:ignore, 0, 0, 0
103, awesomedungeonend:end_pill, HEADING, header:ignore, 0, 0, 0
104, awesomedungeonend:end_pyramid, HEADING, header:ignore, 0, 0, 0
105, philipsruins:end_ruins, HEADING, header:ignore, 0, 0, 0
106, explorify:end_shipwreck, HEADING, header:ignore, 0, 0, 0
107, 1_splatus:endcity_pyramid, HEADING, header:ignore, 0, 0, 0
108, structory_towers:engineer_tower, HEADING, header:ignore, 0, 0, 0
109, totw_modded:everbright, HEADING, header:ignore, 0, 0, 0
110, totw_modded:everdawn, HEADING, header:ignore, 0, 0, 0
111, towns_and_towers:exclusives/pillager_outpost_classic, HEADING, header:ignore, 0, 0, 0
